title,singers,album,download_link,directors,year,film,cast
Sabse Alag,"['Kunal Ganjawala', 'Shaan', 'Hemachandra', 'Nihira Joshi', 'Gayatri Ganjawala']",Alag,https://www.youtube.com/watch?v=RYnKnSuyEAM,['Aadesh Shrivastava'],2006,Alag,
Hai Junoon,"['Shaan', 'Vasundhara Das']",Alag,https://www.youtube.com/watch?v=bu1XynpUpkE,['Aadesh Shrivastava'],2006,Alag,
Khwaab,['Swati Natekar'],Along The Dusty Road,https://www.youtube.com/watch?v=XZkdOQT_J2Y,['Niraj Chag'],2006,,
Bangles,['Japjit Kaur'],Along The Dusty Road,https://www.youtube.com/watch?v=VPDSGDgcGpM,['Niraj Chag'],2006,,
The Nomad,['Niraj Chag'],Along The Dusty Road,https://www.youtube.com/watch?v=lk8mq76bQDA,['Niraj Chag'],2006,,
Ek Pal Ke Liye - I,['KK'],Ankahee,http://www.youtube.com/watch?v=fae1k80CXvE,['Pritam'],2006,Ankahee,
Aa Paas Aa,['Shreya Ghoshal'],Ankahee,https://www.youtube.com/watch?v=rYwNHFM8Cvg,['Pritam'],2006,Ankahee,
Tumse Yun Milenge Humne Socha Na Tha,['Kunal Ganjawala'],Ankahee,http://www.youtube.com/watch?v=cdYC7O8HN6w&feature=plcp,['Pritam'],2006,Ankahee,
Lamha,['Babul Supriyo'],Ankahee,http://www.youtube.com/watch?v=rYwNHFM8Cvg&feature=plcp,['Pritam'],2006,Ankahee,
Ankahee - I,['Kunal Ganjawala'],Ankahee,http://www.youtube.com/watch?v=q3mUbthZkhg,['Pritam'],2006,Ankahee,
Ek Pal Ke Liye - II,['Sonu Nigam'],Ankahee,https://www.youtube.com/watch?v=dhGnlexf5dc,['Pritam'],2006,Ankahee,
Ankahee - II,['Shaan'],Ankahee,https://www.youtube.com/watch?v=-3GfFqjXBFQ,['Pritam'],2006,Ankahee,
Ek Pal Ke Liye (Female),['Shreya Ghoshal'],Ankahee,http://www.youtube.com/watch?v=fae1k80CXvE,['Pritam'],2006,Ankahee,
Ishq Kiya Kiya,"['Himesh Reshammiya', 'Sunidhi Chauhan']",Anthony Kaun Hai?,http://www.youtube.com/watch?v=c2DJOvDtDXo,['Himesh Reshammiya'],2006,Anthony Kaun Hai?,
No Way No Way,"['Himesh Reshammiya', 'KK']",Anthony Kaun Hai?,https://www.youtube.com/watch?v=xefVHlP9W0k,['Himesh Reshammiya'],2006,Anthony Kaun Hai?,
Tune Mera Chain Vain Le Liya,"['Kunal Ganjawala', 'Shreya Ghoshal']",Anthony Kaun Hai?,http://www.youtube.com/watch?v=oINequEdlYs,['Himesh Reshammiya'],2006,Anthony Kaun Hai?,
Bhangra Paale,"['Sonu Nigam', 'Saru Maini', 'Jayesh Gandhi']",Anthony Kaun Hai?,http://www.youtube.com/watch?v=pCfIE4H3dRc,['Himesh Reshammiya'],2006,Anthony Kaun Hai?,
